copy_key,comp_id,resolution,method,n_centres,n_differing,differing_abs_volumes,min_abs_volume_all,labels,error
7YTJ:D:1001,IHP,3.0,ELECTRON MICROSCOPY,6.0,3.0,"[2.371, 2.38, 2.293]",2.2933406128981666,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7YTJ:D:1002,IHP,3.0,ELECTRON MICROSCOPY,6.0,3.0,"[2.347, 2.456, 2.741]",2.3470310085137385,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7YTJ:D:1004,IHP,3.0,ELECTRON MICROSCOPY,6.0,3.0,"[2.358, 2.411, 2.662]",2.1357565814328474,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8ZEN:C:501,IHP,2.99,ELECTRON MICROSCOPY,6.0,5.0,"[2.251, 2.245, 2.357, 2.343, 2.304]",2.2447438530053656,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8ZEN:D:501,IHP,2.99,ELECTRON MICROSCOPY,6.0,5.0,"[2.134, 2.164, 2.236, 2.146, 2.149]",2.1009408855584972,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9DP5:A:902,IHP,2.0,X-RAY DIFFRACTION,6.0,2.0,"[2.104, 2.515]",1.5490377694645807,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
9DP5:B:902,IHP,2.0,X-RAY DIFFRACTION,6.0,2.0,"[2.095, 2.513]",1.561997628642879,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
5W3T:A:501,IHP,2.15,X-RAY DIFFRACTION,6.0,5.0,"[2.388, 2.087, 2.233, 2.325, 2.01]",2.01035027656207,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3T:B:501,IHP,2.15,X-RAY DIFFRACTION,6.0,5.0,"[2.197, 2.243, 1.906, 2.261, 2.297]",1.9063011410979795,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3T:C:501,IHP,2.15,X-RAY DIFFRACTION,6.0,5.0,"[1.866, 2.033, 2.018, 1.925, 2.041]",1.8663347115677626,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3T:D:501,IHP,2.15,X-RAY DIFFRACTION,6.0,5.0,"[2.178, 2.372, 1.951, 2.291, 2.398]",1.951094976763517,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
6WMV:A:301,,,,,,,,,KeyError: 'template_cip'
7PW8:A:3701,IHP,2.82,ELECTRON MICROSCOPY,6.0,3.0,"[2.512, 2.411, 2.362]",2.166552185270625,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8ZEO:C:501,IHP,2.79,ELECTRON MICROSCOPY,6.0,5.0,"[2.309, 2.327, 2.228, 2.281, 2.226]",2.226043696468602,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8ZEO:D:501,IHP,2.79,ELECTRON MICROSCOPY,6.0,5.0,"[2.247, 2.331, 2.388, 2.257, 2.261]",2.246639472872161,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9DTQ:D:401,IHP,2.87,ELECTRON MICROSCOPY,6.0,1.0,[2.592],2.543947359180139,"[[""S"", ""S""], [""s"", ""r""], [""R"", ""R""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
3UDZ:A:500,IHP,2.5,X-RAY DIFFRACTION,6.0,2.0,"[2.096, 2.236]",2.054591693774317,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
3UDZ:B:500,IHP,2.5,X-RAY DIFFRACTION,6.0,5.0,"[2.372, 2.297, 2.496, 2.193, 2.212]",2.1929751272148024,"[[""S"", ""r""], [""s"", ""r""], [""R"", ""r""], [""S"", ""r""], [""r"", ""r""], [""R"", ""r""]]",
5W3X:A:501,IHP,2.0,X-RAY DIFFRACTION,6.0,5.0,"[2.245, 2.314, 2.195, 2.402, 2.002]",2.002492576190167,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W3X:C:501,IHP,2.0,X-RAY DIFFRACTION,6.0,5.0,"[2.2, 2.017, 1.834, 2.289, 1.871]",1.8338675122251928,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7PW9:A:3702,IHP,3.12,ELECTRON MICROSCOPY,6.0,3.0,"[2.494, 2.397, 2.409]",2.211648709634453,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8ZEP:C:501,IHP,3.29,ELECTRON MICROSCOPY,6.0,5.0,"[2.402, 2.206, 2.14, 2.393, 2.261]",2.1395995947132693,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8ZEP:D:501,IHP,3.29,ELECTRON MICROSCOPY,6.0,5.0,"[2.306, 2.388, 2.409, 2.338, 2.33]",2.306051808866961,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
