copy_key,comp_id,resolution,method,n_centres,n_differing,differing_abs_volumes,min_abs_volume_all,labels,error
8QPE:A:2401,IHP,3.1,ELECTRON MICROSCOPY,6.0,5.0,"[2.41, 2.378, 2.505, 2.463, 2.494]",2.378396754529959,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9CAD:D:3901,IHP,3.05,ELECTRON MICROSCOPY,6.0,2.0,"[2.61, 1.748]",1.7479540373958855,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
9FPZ:B:901,IHP,2.69,ELECTRON MICROSCOPY,6.0,2.0,"[2.595, 2.599]",2.5950377743329227,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
5KLP:A:401,IHP,2.0,X-RAY DIFFRACTION,6.0,5.0,"[2.268, 2.381, 2.081, 2.02, 2.128]",1.85263399578574,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5KLP:B:401,IHP,2.0,X-RAY DIFFRACTION,6.0,5.0,"[0.932, 1.835, 2.077, 2.048, 0.713]",0.7129194640751796,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5KLP:C:401,IHP,2.0,X-RAY DIFFRACTION,6.0,5.0,"[2.012, 1.931, 1.782, 1.804, 2.248]",1.689575158425326,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9CAF:D:3901,IHP,2.35,ELECTRON MICROSCOPY,6.0,2.0,"[2.607, 1.913]",1.9133499753169048,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
9TMS:c:1901,IHP,2.9,ELECTRON MICROSCOPY,6.0,3.0,"[2.495, 2.293, 2.509]",2.293244225165381,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
5KLQ:A:401,IHP,3.4,X-RAY DIFFRACTION,6.0,5.0,"[2.258, 2.191, 2.221, 2.193, 2.356]",2.1910383818013184,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5KLQ:B:401,IHP,3.4,X-RAY DIFFRACTION,6.0,5.0,"[2.408, 2.299, 2.049, 2.666, 2.117]",1.8316622801128988,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5KLQ:C:401,IHP,3.4,X-RAY DIFFRACTION,6.0,5.0,"[2.142, 2.075, 2.153, 2.141, 2.13]",2.069404762653976,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7KTR:A:4001,IHP,2.93,ELECTRON MICROSCOPY,6.0,3.0,"[2.45, 2.391, 2.5]",2.3913459366247025,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9UMG:D:801,IHP,3.04,ELECTRON MICROSCOPY,6.0,5.0,"[2.483, 2.44, 2.491, 2.457, 2.459]",2.4395081584245677,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9UMG:D:802,IHP,3.04,ELECTRON MICROSCOPY,6.0,5.0,"[2.292, 2.399, 2.449, 2.336, 2.365]",2.2919534467869855,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9UMG:E:901,IHP,3.04,ELECTRON MICROSCOPY,6.0,5.0,"[2.448, 2.507, 2.453, 2.418, 2.464]",2.411112863832507,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
6BE0:A:301,IHP,2.44,X-RAY DIFFRACTION,6.0,2.0,"[2.454, 2.42]",2.3583194025495398,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
6ZYM:A:3001,IHP,3.4,ELECTRON MICROSCOPY,6.0,5.0,"[2.014, 2.311, 2.365, 2.211, 2.12]",2.013806434106023,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7L1K:A:301,IHP,3.16,ELECTRON MICROSCOPY,6.0,5.0,"[2.251, 1.87, 1.9, 1.835, 2.108]",1.7689015022517656,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7SU3:B:701,IHP,3.3,ELECTRON MICROSCOPY,6.0,3.0,"[2.382, 2.347, 2.345]",2.345262230084117,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8T96:A:404,K7V,2.36,X-RAY DIFFRACTION,6.0,2.0,"[2.495, 2.591]",2.4141200575487103,"[[""r"", ""s""], [""S"", ""S""], [""R"", ""R""], [""s"", ""r""], [""S"", ""S""], [""R"", ""R""]]",
9VA7:B:501,IHP,2.23,X-RAY DIFFRACTION,6.0,3.0,"[2.663, 2.659, 0.245]",0.2447726334063049,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9VA7:C:501,IHP,2.23,X-RAY DIFFRACTION,6.0,3.0,"[2.624, 2.455, 0.204]",0.20367711118715004,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9VA7:D:501,IHP,2.23,X-RAY DIFFRACTION,6.0,3.0,"[2.708, 3.011, 0.151]",0.15052554794070605,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9VA7:E:501,IHP,2.23,X-RAY DIFFRACTION,6.0,3.0,"[2.424, 2.948, 0.275]",0.2749388662139218,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9VA7:F:501,IHP,2.23,X-RAY DIFFRACTION,6.0,2.0,"[0.806, 0.538]",0.10642076602846268,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
8T97:A:403,KGN,2.46,X-RAY DIFFRACTION,6.0,6.0,"[2.535, 2.556, 2.517, 2.572, 2.589, 2.572]",2.517471050358092,"[[""S"", ""r""], [""R"", ""r""], [""R"", ""r""], [""S"", ""r""], [""S"", ""r""], [""S"", ""r""]]",
9VRD:A:1601,IHP,3.03,ELECTRON MICROSCOPY,6.0,5.0,"[2.47, 2.503, 2.479, 2.505, 2.458]",2.457845481099513,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5D3X:A:501,4IP,1.69,X-RAY DIFFRACTION,6.0,1.0,[1.43],1.429883172847512,"[[""S"", ""S""], [""S"", ""S""], [""S"", ""S""], [""R"", ""R""], [""S"", ""R""], [""S"", ""S""]]",
5D3X:B:501,4IP,1.69,X-RAY DIFFRACTION,6.0,1.0,[2.346],2.345846698234868,"[[""S"", ""S""], [""S"", ""S""], [""S"", ""S""], [""R"", ""R""], [""S"", ""R""], [""S"", ""S""]]",
6O07:A:920,IHP,2.7,X-RAY DIFFRACTION,6.0,5.0,"[2.489, 2.256, 2.133, 2.48, 2.52]",2.1071595315285756,"[[""S"", ""r""], [""s"", ""r""], [""R"", ""r""], [""S"", ""r""], [""r"", ""r""], [""R"", ""r""]]",
8EEP:A:402,IHP,2.2,ELECTRON MICROSCOPY,6.0,3.0,"[2.349, 2.398, 2.127]",2.126719714193108,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9L5R:J:1001,IHP,2.8,ELECTRON MICROSCOPY,6.0,3.0,"[2.542, 2.573, 2.718]",2.139126778088599,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9RST:A:2501,IHP,2.93,ELECTRON MICROSCOPY,6.0,5.0,"[2.527, 2.361, 2.405, 2.348, 2.455]",2.348259380900913,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9VRE:A:1601,IHP,3.5,ELECTRON MICROSCOPY,6.0,5.0,"[2.447, 2.412, 2.489, 2.5, 2.495]",2.4124994577736096,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5D3Y:A:501,4IP,1.95,X-RAY DIFFRACTION,6.0,1.0,[1.098],1.0982803947579298,"[[""S"", ""S""], [""S"", ""S""], [""S"", ""S""], [""R"", ""R""], [""S"", ""R""], [""S"", ""S""]]",
5D3Y:B:501,4IP,1.95,X-RAY DIFFRACTION,6.0,1.0,[1.047],1.046612738372139,"[[""S"", ""S""], [""S"", ""S""], [""S"", ""S""], [""R"", ""R""], [""S"", ""R""], [""S"", ""S""]]",
6PPL:B:901,IHP,3.02,ELECTRON MICROSCOPY,6.0,3.0,"[2.405, 2.57, 2.465]",2.3772647337866584,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7D3Y:A:402,IHP,3.11,X-RAY DIFFRACTION,6.0,5.0,"[2.309, 2.572, 2.588, 2.184, 2.255]",2.184401786709712,"[[""S"", ""r""], [""s"", ""r""], [""R"", ""r""], [""S"", ""r""], [""r"", ""r""], [""R"", ""r""]]",
7NAQ:c:1901,IHP,3.2,ELECTRON MICROSCOPY,6.0,5.0,"[2.383, 2.368, 2.244, 2.109, 2.233]",2.1090748743888383,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9W1B:A:710,IHP,2.87,ELECTRON MICROSCOPY,6.0,5.0,"[2.441, 2.488, 2.457, 2.382, 2.455]",2.3822002382890375,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9W1B:A:715,IHP,2.87,ELECTRON MICROSCOPY,6.0,5.0,"[2.441, 2.487, 2.457, 2.382, 2.455]",2.3822200794044974,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9W1B:A:716,IHP,2.87,ELECTRON MICROSCOPY,6.0,5.0,"[2.456, 2.443, 2.49, 2.457, 2.523]",2.443036484562789,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9W1B:E:702,IHP,2.87,ELECTRON MICROSCOPY,6.0,5.0,"[2.458, 2.445, 2.49, 2.456, 2.522]",2.4449660946634637,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
1BQ3:A:360,IHP,2.7,X-RAY DIFFRACTION,6.0,2.0,"[2.56, 2.601]",1.784708330637449,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
1BQ3:D:350,IHP,2.7,X-RAY DIFFRACTION,6.0,2.0,"[2.593, 2.458]",2.08161430835918,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
7E1J:A:201,IHP,2.72,X-RAY DIFFRACTION,6.0,5.0,"[2.442, 2.417, 2.257, 1.388, 2.422]",1.3875878552282859,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7E1J:B:201,IHP,2.72,X-RAY DIFFRACTION,6.0,5.0,"[2.309, 2.024, 1.988, 2.228, 2.052]",1.9878378697022443,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7E1J:C:201,IHP,2.72,X-RAY DIFFRACTION,6.0,2.0,"[2.042, 2.229]",0.519563282480982,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""r""], [""R"", ""R""]]",
7E1J:D:201,IHP,2.72,X-RAY DIFFRACTION,6.0,5.0,"[1.583, 1.788, 2.329, 1.118, 2.402]",1.1177606900648542,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7E1J:E:201,IHP,2.72,X-RAY DIFFRACTION,6.0,5.0,"[2.029, 1.949, 2.438, 1.468, 1.74]",0.500186654652795,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7E1J:F:201,IHP,2.72,X-RAY DIFFRACTION,6.0,5.0,"[2.278, 2.528, 2.372, 2.168, 2.435]",2.0969322929700414,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR1:A:1206,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.614, 2.586, 2.533, 2.614, 2.446]",2.4204995973378303,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR1:B:1206,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.618, 2.59, 2.538, 2.61, 2.446]",2.4204359191603686,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR1:C:1206,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.614, 2.588, 2.535, 2.611, 2.442]",2.4234743609112783,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7OR1:D:1201,IHP,2.64,ELECTRON MICROSCOPY,6.0,5.0,"[2.614, 2.586, 2.532, 2.614, 2.449]",2.420163531220979,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8XUO:A:902,IHP,2.84,ELECTRON MICROSCOPY,6.0,2.0,"[2.535, 2.499]",2.430981340833263,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""R""], [""r"", ""r""], [""R"", ""S""]]",
8XUO:G:902,IHP,2.84,ELECTRON MICROSCOPY,6.0,2.0,"[2.494, 2.411]",2.4079843201491347,"[[""S"", ""S""], [""s"", ""S""], [""R"", ""R""], [""S"", ""S""], [""r"", ""R""], [""R"", ""R""]]",
9YLB:A:1101,IHP,3.24,ELECTRON MICROSCOPY,6.0,3.0,"[2.255, 2.346, 2.229]",1.990559055512433,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
6C9M:A:901,IHP,2.8,X-RAY DIFFRACTION,6.0,1.0,[0.025],0.025129464221322118,"[[""S"", ""S""], [""s"", ""s""], [""R"", ""R""], [""S"", ""S""], [""r"", ""?""], [""R"", ""R""]]",
7E1K:A:201,IHP,2.4,X-RAY DIFFRACTION,6.0,5.0,"[2.596, 1.972, 1.966, 2.122, 2.173]",1.965652108513487,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7E1K:B:201,IHP,2.4,X-RAY DIFFRACTION,6.0,5.0,"[2.514, 2.175, 2.161, 2.166, 2.106]",1.9352950586316524,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7UXC:A:2601,IHP,3.2,ELECTRON MICROSCOPY,6.0,3.0,"[2.537, 2.507, 2.545]",2.384400174871189,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8GDV:A:301,IHP,3.3,X-RAY DIFFRACTION,6.0,3.0,"[2.363, 2.364, 2.174]",2.174365911878268,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8GDV:A:302,IHP,3.3,X-RAY DIFFRACTION,6.0,3.0,"[2.438, 2.498, 2.429]",2.349226343174722,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
